sim_gen inv_id freq freq_p1 freq_p2 num_qtns mean_qtnSelCoef sd_qtnSelCoef mean_qtnDom sd_qtnDom inv_FST 
600 116204 0.09 0.09 0.09 11 0.000496615 0.00218535 0 0 0
600 457791 0.0065 0.006 0.007 2 0.00182178 0.00125218 0 0 0
600 505034 0.00025 0.0005 0 1 0.000109431 0 0 0 0
600 461167 0.01275 0.0125 0.013 6 -0.000596838 0.00181192 0 0 0
600 251308 0.04 0.036 0.044 6 -0.000130923 0.00145772 0 0 0
600 326942 0.008 0.006 0.01 0 0 0 0 0 0
600 314299 0.0145 0.016 0.013 5 -0.000204093 0.00274603 0 0 0
600 405408 0.02725 0.028 0.0265 4 0.00189084 0.00125189 0 0 0
600 446834 0.003 0.002 0.004 1 -0.000384253 0 0 0 0
600 482409 0.00225 0.002 0.0025 3 0.00147149 0.000784694 0 0 0
600 371593 0.003 0.0045 0.0015 2 -0.00238402 0.00469269 0 0 0
600 482408 0.0005 0 0.001 0 0 0 0 0 0
600 449375 0.00475 0.005 0.0045 0 0 0 0 0 0
600 487496 0.0045 0.005 0.004 1 -0.00312176 0 0 0 0
600 473012 0.012 0.0135 0.0105 3 -0.00182203 0.00182071 0 0 0
600 489159 0.0025 0.0025 0.0025 3 0.00105545 0.00223063 0 0 0
600 480679 0.0045 0.0065 0.0025 0 0 0 0 0 0
600 496707 0.001 0.0005 0.0015 2 -0.00277444 0.00115892 0 0 0
600 499994 0.00025 0 0.0005 0 0 0 0 0 0
600 499993 0.0005 0 0.001 0 0 0 0 0 0
600 501708 0.00025 0 0.0005 1 -0.000115976 0 0 0 0
600 501709 0.00125 0.002 0.0005 1 -0.00104856 0 0 0 0
600 504238 0.0005 0.0005 0.0005 0 0 0 0 0 0
600 503376 0.0005 0.0005 0.0005 3 -0.00230261 0.00186191 0 0 0
600 504236 0.0005 0.001 0 0 0 0 0 0 0
600 505902 0.00025 0.0005 0 3 0.00105539 0.00243264 0 0 0
800 316782 0.00125 0.0015 0.001 3 -0.000595712 0.00215146 0 0 0
800 116204 0.2515 0.249 0.254 26 0.000202006 0.0024501 0 0 3.32009e-05
800 457791 0.045 0.049 0.041 8 0.000530419 0.00225421 0 0 0
800 501709 0.0695 0.073 0.066 3 -0.00150627 0.000551608 0 0 0.000189424
800 461167 0.0195 0.019 0.02 4 -0.00161264 0.00276187 0 0 0
800 251308 0.006 0.0075 0.0045 2 -0.000520055 0.000793008 0 0 0
800 593131 0.006 0.004 0.008 3 -0.000821193 0.00147315 0 0 0
800 314299 0.11575 0.1205 0.111 23 -2.45293e-05 0.0020159 0 0 0.00022044
800 649756 0.00075 0.0005 0.001 1 0.00127915 0 0 0 0
800 637239 0.0005 0.0005 0.0005 3 -0.000483072 0.00152898 0 0 0
800 642261 0.00575 0.007 0.0045 0 0 0 0 0 0
800 371593 0.0165 0.016 0.017 2 -0.00238402 0.00469269 0 0 0
800 520117 0.04775 0.0455 0.05 1 0.00233274 0 0 0 0
800 449375 0.01775 0.0175 0.018 0 0 0 0 0 0
800 487496 0.019 0.014 0.024 1 -0.00312176 0 0 0 0
800 665920 0.00125 0 0.0025 6 -0.00048873 0.00166359 0 0 0
800 634665 0.00225 0.002 0.0025 2 -0.00121969 0.00295236 0 0 0
800 641420 0.0075 0.007 0.008 5 0.000376625 0.0019957 0 0 0
800 668415 0.0005 0.001 0 0 0 0 0 0 0
800 671704 0.0005 0.001 0 0 0 0 0 0 0
800 661668 0.00025 0 0.0005 0 0 0 0 0 0
800 659175 0.003 0.0015 0.0045 0 0 0 0 0 0
800 660049 0.00275 0.0005 0.005 4 0.00129845 0.00289469 0 0 0
800 672554 0.00075 0.0005 0.001 0 0 0 0 0 0
800 672555 0.001 0.002 0 1 -0.00168561 0 0 0 0
800 674247 0.00025 0.0005 0 1 -0.00266035 0 0 0 0
800 674248 0.00025 0 0.0005 2 0.00141704 0.00216801 0 0 0
1000 682664 0.0025 0.004 0.001 6 0.000260532 0.00297174 0 0 0
1000 116204 0.31075 0.3195 0.302 50 -0.000191791 0.00200463 0 0 0.000357461
1000 457791 0.00425 0.005 0.0035 3 0.000939083 0.00176676 0 0 0
1000 501709 0.0615 0.0635 0.0595 4 -0.000888319 0.000531974 0 0 6.93028e-05
1000 461167 0.02125 0.0255 0.017 4 0.000964188 0.0015614 0 0 0
1000 251308 0.008 0.008 0.008 3 -0.00162567 0.00199539 0 0 0
1000 834667 0.00225 0.0015 0.003 6 -0.000559082 0.00327082 0 0 0
1000 314299 0.165 0.164 0.166 12 -0.000679778 0.00151307 0 0 7.25821e-06
1000 714632 0.003 0.002 0.004 0 0 0 0 0 0
1000 738970 0.00375 0.005 0.0025 5 -0.000518282 0.00200609 0 0 0
1000 832205 0.00025 0.0005 0 1 -0.00450916 0 0 0 0
1000 371593 0.052 0.053 0.051 3 -0.00260675 0.00334059 0 0 2.02856e-05
1000 520117 0.04175 0.045 0.0385 2 0.00141561 0.00129702 0 0 0
1000 830519 0.00425 0.007 0.0015 7 -0.000829971 0.00223363 0 0 0
