"inv_id" "sim_gen" "freq" "freq_p1" "freq_p2" "num_qtns" "mean_qtnSelCoef" "sd_qtnSelCoef" "mean_qtnDom" "sd_qtnDom" "inv_FST" "inv_originGen" "inv_pos" "inv_end" "inv_length"
487496 800 0.019 0.014 0.024 1 -0.00312176 0 0 0 0 578 1235911 1244380 8470
487496 1000 0.00575 0.0075 0.004 1 -0.00312176 0 0 0 0 578 1235911 1244380 8470
489159 600 0.0025 0.0025 0.0025 3 0.00105545 0.00223063 0 0 0 580 1245899 1282483 36585
496707 600 0.001 0.0005 0.0015 2 -0.00277444 0.00115892 0 0 0 589 1052269 1070458 18190
499993 600 0.0005 0 0.001 0 0 0 0 0 0 593 1928468 1939592 11125
499994 600 0.00025 0 0.0005 0 0 0 0 0 0 593 1738691 1767781 29091
501708 600 0.00025 0 0.0005 1 -0.000115976 0 0 0 0 595 1016263 1061391 45129
501709 1000 0.0615 0.0635 0.0595 4 -0.000888319 0.000531974 0 0 0.0000693028 595 1325207 1337319 12113
501709 800 0.0695 0.073 0.066 3 -0.00150627 0.000551608 0 0 0.000189424 595 1325207 1337319 12113
501709 600 0.00125 0.002 0.0005 1 -0.00104856 0 0 0 0 595 1325207 1337319 12113
503376 600 0.0005 0.0005 0.0005 3 -0.00230261 0.00186191 0 0 0 597 1224280 1257463 33184
504236 600 0.0005 0.001 0 0 0 0 0 0 0 598 167666 193268 25603
504238 600 0.0005 0.0005 0.0005 0 0 0 0 0 0 598 913368 930241 16874
505034 600 0.00025 0.0005 0 1 0.000109431 0 0 0 0 599 41678 51220 9543
505902 600 0.00025 0.0005 0 3 0.00105539 0.00243264 0 0 0 600 1132490 1168086 35597
520117 1000 0.04175 0.045 0.0385 2 0.00141561 0.00129702 0 0 0 617 107109 119480 12372
520117 1400 0.03425 0.0345 0.034 2 0.000167817 0.00306167 0 0 0 617 107109 119480 12372
520117 1200 0.06875 0.067 0.0705 3 0.000625915 0.0020352 0 0 0.000047834 617 107109 119480 12372
520117 1600 0.02925 0.033 0.0255 3 0.000931825 0.00253733 0 0 0 617 107109 119480 12372
520117 800 0.04775 0.0455 0.05 1 0.00233274 0 0 0 0 617 107109 119480 12372
520117 1800 0.00125 0.002 0.0005 2 0.00340815 0.00152086 0 0 0 617 107109 119480 12372
593131 800 0.006 0.004 0.008 3 -0.000821193 0.00147315 0 0 0 704 769292 793497 24206
634665 800 0.00225 0.002 0.0025 2 -0.00121969 0.00295236 0 0 0 753 1024625 1072373 47749
637239 800 0.0005 0.0005 0.0005 3 -0.000483072 0.00152898 0 0 0 756 1010281 1044926 34646
641420 2200 0.00825 0.009 0.0075 7 0.000254001 0.00203999 0 0 0 761 715404 759468 44065
641420 2000 0.04525 0.0495 0.041 14 -0.000642993 0.00172363 0 0 0 761 715404 759468 44065
641420 1800 0.0815 0.0685 0.0945 15 -0.000404768 0.0016169 0 0 0.00225762 761 715404 759468 44065
641420 1000 0.11025 0.097 0.1235 25 0.000168382 0.00178584 0 0 0.00178972 761 715404 759468 44065
641420 1200 0.10325 0.0965 0.11 19 0.000537172 0.00190831 0 0 0.000492092 761 715404 759468 44065
641420 1400 0.04225 0.0395 0.045 14 -0.0000484759 0.00224284 0 0 0 761 715404 759468 44065
641420 1600 0.11425 0.1165 0.112 17 0.0000356107 0.00206631 0 0 0.0000500262 761 715404 759468 44065
641420 800 0.0075 0.007 0.008 5 0.000376625 0.0019957 0 0 0 761 715404 759468 44065
641420 2400 0.02325 0.021 0.0255 11 0.000291694 0.00188505 0 0 0 761 715404 759468 44065
642261 800 0.00575 0.007 0.0045 0 0 0 0 0 0 762 569706 592469 22764
649756 800 0.00075 0.0005 0.001 1 0.00127915 0 0 0 0 771 810196 812942 2747
659175 800 0.003 0.0015 0.0045 0 0 0 0 0 0 782 538048 554161 16114
660049 800 0.00275 0.0005 0.005 4 0.00129845 0.00289469 0 0 0 783 1442424 1461483 19060
661668 800 0.00025 0 0.0005 0 0 0 0 0 0 785 1667891 1694354 26464
665920 800 0.00125 0 0.0025 6 -0.00048873 0.00166359 0 0 0 790 1252311 1299494 47184
668415 800 0.0005 0.001 0 0 0 0 0 0 0 793 1771774 1783298 11525
671704 800 0.0005 0.001 0 0 0 0 0 0 0 797 1730734 1751061 20328
672554 800 0.00075 0.0005 0.001 0 0 0 0 0 0 798 2048352 2094129 45778
672555 800 0.001 0.002 0 1 -0.00168561 0 0 0 0 798 1950485 1994626 44142
674247 800 0.00025 0.0005 0 1 -0.00266035 0 0 0 0 800 511465 556858 45394
674248 800 0.00025 0 0.0005 2 0.00141704 0.00216801 0 0 0 800 1018980 1060379 41400
681036 1000 0.00875 0.0095 0.008 0 0 0 0 0 0 808 167370 167617 248
682664 1000 0.0025 0.004 0.001 6 0.000260532 0.00297174 0 0 0 810 1332227 1363577 31351
683468 1000 0.014 0.0125 0.0155 0 0 0 0 0 0 811 401202 420763 19562
703636 1000 0.0035 0.0035 0.0035 5 0.000519539 0.00103162 0 0 0 835 624244 672492 48249
703636 1200 0.01325 0.0115 0.015 9 0.000472602 0.00123525 0 0 0 835 624244 672492 48249
703636 1600 0.0035 0.0045 0.0025 9 0.00029351 0.00119468 0 0 0 835 624244 672492 48249
703636 1400 0.016 0.0135 0.0185 11 0.000170606 0.000976704 0 0 0 835 624244 672492 48249
714632 1000 0.003 0.002 0.004 0 0 0 0 0 0 848 2062783 2099860 37078
730597 2800 0.08175 0.081 0.0825 8 -0.000389907 0.00114463 0 0 0.00000749331 867 931421 940531 9111
730597 2200 0.256 0.2615 0.2505 9 0.000404403 0.00151146 0 0 0.000158823 867 931421 940531 9111
730597 3200 0.061 0.0555 0.0665 6 -0.0000920184 0.00117537 0 0 0.000528117 867 931421 940531 9111
730597 2400 0.1355 0.1385 0.1325 10 0.00038924 0.000836951 0 0 0.0000768313 867 931421 940531 9111
730597 1000 0.0095 0.0075 0.0115 4 0.000159138 0.000489672 0 0 0 867 931421 940531 9111
730597 3400 0.0095 0.005 0.014 5 0.000338024 0.000582955 0 0 0 867 931421 940531 9111
730597 1600 0.16575 0.17 0.1615 7 0.0000884143 0.000786693 0 0 0.000130626 867 931421 940531 9111
730597 1400 0.08025 0.081 0.0795 5 -0.00000224258 0.000556823 0 0 0.00000762093 867 931421 940531 9111
730597 2600 0.158 0.169 0.147 9 0.000698622 0.00126953 0 0 0.000909528 867 931421 940531 9111
730597 2000 0.2735 0.277 0.27 12 0.0003391 0.00125467 0 0 0.0000616514 867 931421 940531 9111
730597 1800 0.33075 0.3195 0.342 7 0.000350291 0.000842796 0 0 0.000571764 867 931421 940531 9111
730597 1200 0.05525 0.0515 0.059 4 0.000159138 0.000489672 0 0 0.00026941 867 931421 940531 9111
730597 3000 0.12225 0.124 0.1205 7 0.000541365 0.00198984 0 0 0.0000285402 867 931421 940531 9111
738970 1000 0.00375 0.005 0.0025 5 -0.000518282 0.00200609 0 0 0 877 1342936 1391440 48505
770164 1000 0.018 0.021 0.015 0 0 0 0 0 0 914 164567 171030 6464
812918 1000 0.00725 0.0085 0.006 2 -0.00126162 0.00226 0 0 0 965 560513 575600 15088
828066 1000 0.0005 0.0005 0.0005 4 -0.000317871 0.00132604 0 0 0 983 1343135 1384506 41372
830517 1000 0.00025 0 0.0005 1 0.00139862 0 0 0 0 986 1803718 1813514 9797
830519 1000 0.00425 0.007 0.0015 7 -0.000829971 0.00223363 0 0 0 986 643097 688860 45764
830520 1000 0.00125 0.002 0.0005 6 -0.0000695663 0.00221503 0 0 0 986 934836 971733 36898
831399 1000 0.0025 0.0025 0.0025 1 0.00240766 0 0 0 0 987 1170110 1173076 2967
832205 1000 0.00025 0.0005 0 1 -0.00450916 0 0 0 0 988 760235 763093 2859
834667 1000 0.00225 0.0015 0.003 6 -0.000559082 0.00327082 0 0 0 991 802491 832738 30248
838034 1000 0.00125 0.0005 0.002 3 0.00232165 0.00310167 0 0 0 995 1543587 1562974 19388
839687 1000 0.00075 0.001 0.0005 5 -0.00182042 0.00200521 0 0 0 997 1505166 1551397 46232
839689 1000 0.00025 0.0005 0 3 0.0016043 0.00210198 0 0 0 997 1947983 1981984 34002
841430 1000 0.00025 0 0.0005 1 0.000622371 0 0 0 0 999 1802456 1816609 14154
842351 1000 0.00025 0.0005 0 1 -0.00181563 0 0 0 0 1000 1970811 1996943 26133
881630 1200 0.03725 0.0325 0.042 4 -0.0000303606 0.00148858 0 0 0 1047 534447 576333 41887
885832 1400 0.00175 0.0035 0 3 0.000580822 0.00166505 0 0 0 1052 220987 260654 39668
885832 1200 0.01025 0.0085 0.012 4 0.00103298 0.00163281 0 0 0 1052 220987 260654 39668
901832 1200 0.00675 0.007 0.0065 6 -0.000217331 0.00322634 0 0 0 1071 610245 644594 34350
915905 1200 0.01 0.01 0.01 4 -0.000057687 0.00268903 0 0 0 1088 267499 288759 21261
930050 1200 0.001 0.0015 0.0005 3 -0.00135724 0.00206508 0 0 0 1105 769013 798197 29185
941823 2200 0.16375 0.156 0.1715 23 0.0000764097 0.00216099 0 0 0.000438618 1119 477978 499434 21457
941823 1200 0.006 0.007 0.005 6 -0.000082879 0.00297794 0 0 0 1119 477978 499434 21457
941823 3400 0.01075 0.01 0.0115 13 -0.0000186501 0.00234621 0 0 0 1119 477978 499434 21457
941823 2600 0.134 0.1285 0.1395 23 -0.00029659 0.00220334 0 0 0.000260677 1119 477978 499434 21457
941823 1800 0.2135 0.212 0.215 28 0.000220201 0.00230781 0 0 0.0000133994 1119 477978 499434 21457
941823 3600 0.02375 0.025 0.0225 14 0.000156079 0.00234706 0 0 0 1119 477978 499434 21457
941823 3200 0.0185 0.0155 0.0215 11 -0.000232698 0.00241627 0 0 0 1119 477978 499434 21457
941823 2400 0.14875 0.149 0.1485 32 0.000636592 0.00189317 0 0 0.00000049359 1119 477978 499434 21457
941823 1400 0.0305 0.0275 0.0335 11 -0.000432834 0.00234569 0 0 0 1119 477978 499434 21457
941823 2800 0.08925 0.085 0.0935 17 -0.000377551 0.00230732 0 0 0.000222214 1119 477978 499434 21457
941823 1600 0.12 0.1165 0.1235 13 0.000127495 0.00253548 0 0 0.000116004 1119 477978 499434 21457
941823 2000 0.191 0.187 0.195 20 -0.000041227 0.0022749 0 0 0.000103547 1119 477978 499434 21457
941823 3000 0.0595 0.0605 0.0585 19 -0.000229669 0.00221881 0 0 0.00001787 1119 477978 499434 21457
