sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
12800 29 0.0159339 0.0183004 0.0135673 0.0160263 0.0158414 0.422558 0.0658753 0.012633 0.0899613 0.420099 0.0649057 -0.00939348 0.0885701
13000 35 0.0181995 0.0415361 -0.00513715 0.0183539 0.0180451 0.434427 0.0674945 0.0286656 0.0913833 0.410936 0.0670941 0.0035416 0.0926955
13200 28 0.0127488 -0.0101414 0.0356389 0.0124937 0.0130039 0.408571 0.0686156 -0.00701098 0.0952402 0.431716 0.0715936 -0.0246287 0.0971941
13400 34 0.019769 -0.00275666 0.0422946 0.0196928 0.0198452 0.412492 0.0718005 -0.00195521 0.0997793 0.435094 0.0718738 -0.0292708 0.0969025
13600 36 0.0253355 0.031146 0.019525 0.0253419 0.025329 0.42954 0.0730395 0.0215476 0.0992944 0.423723 0.0734014 -0.0134921 0.100569
13800 33 0.0249768 0.019298 0.0306557 0.0249375 0.0250162 0.423527 0.0723482 0.0133345 0.0990038 0.429245 0.0724664 -0.0212123 0.0984794
14000 38 0.0207461 0.0515468 -0.0100547 0.0211009 0.0203913 0.440286 0.0783656 0.0357588 0.105385 0.40913 0.0752614 0.00698114 0.104702
14200 28 0.0298736 0.00961719 0.0501299 0.0292109 0.0305362 0.41874 0.073257 0.00665294 0.100612 0.439659 0.0792354 -0.0347411 0.106915
14400 28 0.0216532 0.0206305 0.0226759 0.021587 0.0217193 0.424384 0.0749122 0.0142767 0.102409 0.425473 0.0754334 -0.0156622 0.103361
14600 33 0.0267639 0.0161304 0.0373974 0.0266593 0.0268685 0.422382 0.0777524 0.011107 0.107308 0.433121 0.0783627 -0.0258994 0.106482
14800 34 0.0298533 0.0471005 0.012606 0.0300218 0.0296847 0.438375 0.0822207 0.0326427 0.111542 0.420959 0.082369 -0.00876295 0.113068
15000 39 0.0337117 0.0123529 0.0550705 0.0334187 0.0340048 0.421147 0.0858459 0.00857877 0.11823 0.442798 0.0864155 -0.0382146 0.1171
15200 34 0.04168 0.0535123 0.0298477 0.0414223 0.0419376 0.442311 0.0895705 0.0371071 0.122144 0.430736 0.0943971 -0.0207389 0.129764
15400 37 0.0499457 0.0589648 0.0409267 0.0502129 0.0496786 0.44629 0.102073 0.0410901 0.139278 0.437004 0.101519 -0.02859 0.138609
15600 39 0.042057 0.0579037 0.0262103 0.0423357 0.0417782 0.44579 0.101966 0.040222 0.140067 0.429664 0.102608 -0.0183854 0.140948
15800 34 0.0448172 0.0677358 0.0218986 0.0457173 0.0439171 0.451289 0.107717 0.0474523 0.145639 0.427471 0.101079 -0.0151053 0.14068
16000 35 0.0642908 0.0532458 0.0753359 0.0647735 0.0638082 0.445852 0.124519 0.0375535 0.170985 0.456414 0.118467 -0.0529731 0.161277
16200 32 0.0716087 0.0785534 0.0646641 0.0718599 0.0713576 0.459375 0.129295 0.0555359 0.176645 0.45218 0.127725 -0.0454187 0.1761
