sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
11600 39 0.0274545 0.00879385 0.0461151 0.0271809 0.027728 0.417911 0.0677194 0.0060879 0.092837 0.436845 0.0687753 -0.0318427 0.0929016
11800 31 0.0267907 0.0488787 0.00470268 0.0272219 0.0263595 0.438553 0.0727791 0.0337667 0.0984783 0.416034 0.0698333 -0.00324432 0.096186
12000 40 0.0261779 0.0247476 0.0276081 0.02628 0.0260757 0.426386 0.0736058 0.0170657 0.100989 0.427714 0.0729254 -0.0191526 0.0988228
12200 34 0.0230996 0.0515265 -0.00532738 0.0235509 0.0226482 0.43998 0.074057 0.0356445 0.099838 0.411102 0.0704303 0.00370931 0.097721
12400 40 0.0233777 0.0421987 0.00455667 0.0235914 0.023164 0.435359 0.076121 0.0292472 0.102839 0.416324 0.0744683 -0.00311913 0.103026
12600 34 0.0278895 0.0256924 0.0300865 0.0279502 0.0278287 0.427726 0.08466 0.0178418 0.11579 0.429862 0.0839702 -0.0209183 0.114319
12800 34 0.0301428 0.040328 0.0199577 0.0303178 0.0299678 0.434705 0.0791656 0.0278743 0.108096 0.424344 0.0784494 -0.0137979 0.107632
13000 33 0.0259117 0.0168844 0.0349389 0.0262125 0.0256108 0.423302 0.0845565 0.0117093 0.116313 0.432029 0.0803194 -0.0242211 0.109255
13200 38 0.0318018 0.0127805 0.050823 0.0312199 0.0323836 0.420872 0.0798911 0.00881146 0.110365 0.440475 0.0845034 -0.0352286 0.114712
13400 35 0.028594 0.0415789 0.015609 0.0284133 0.0287746 0.435716 0.0845115 0.0289088 0.114328 0.422912 0.0875348 -0.0108641 0.120367
13600 41 0.0413292 0.0391872 0.0434713 0.0414582 0.0412003 0.435413 0.0942345 0.0272879 0.128626 0.437426 0.0923007 -0.0301998 0.125972
13800 29 0.0437804 0.0526994 0.0348614 0.0436799 0.043881 0.442024 0.0909487 0.0365593 0.123888 0.433206 0.0939322 -0.0242555 0.128347
14000 33 0.0430406 0.0293869 0.0566944 0.0426978 0.0433835 0.430717 0.0967128 0.0204627 0.132722 0.444713 0.0984851 -0.0395558 0.133751
14200 40 0.0498289 0.0623649 0.0372928 0.0505016 0.0491561 0.448723 0.108375 0.0434942 0.148391 0.435514 0.104916 -0.026102 0.143757
14400 32 0.0508453 0.0181652 0.0835253 0.0503272 0.0513634 0.426522 0.109322 0.0124881 0.152986 0.45972 0.109562 -0.058365 0.148611
14600 31 0.0634144 0.0234436 0.103385 0.0620632 0.0647657 0.430213 0.118261 0.0162249 0.165338 0.471535 0.122976 -0.0727199 0.166539
14800 30 0.0718063 0.117891 0.0257218 0.0733732 0.0702394 0.4806 0.134922 0.0834229 0.183026 0.432948 0.131027 -0.0179258 0.183849
15000 36 0.0921797 0.0864892 0.0978703 0.0919199 0.0924396 0.46538 0.142721 0.0612573 0.196667 0.47133 0.14325 -0.0693266 0.197822
15200 29 0.109777 0.098565 0.120989 0.109928 0.109626 0.473603 0.156099 0.0702639 0.216459 0.484664 0.151415 -0.0859852 0.209261
15400 28 0.137307 0.123991 0.150624 0.138134 0.13648 0.489419 0.172238 0.0892015 0.239817 0.501909 0.162154 -0.107734 0.223233
15600 32 0.17367 0.163026 0.184314 0.174002 0.173338 0.521083 0.226595 0.11983 0.32977 0.531395 0.223745 -0.136924 0.320922
15800 35 0.261362 0.273475 0.249248 0.262012 0.260711 0.59503 0.282894 0.212091 0.428939 0.582267 0.285669 -0.193216 0.437286
16000 34 0.366902 0.337222 0.396583 0.363587 0.370218 0.641315 0.318097 0.272291 0.515236 0.67431 0.312718 -0.324663 0.502462
16200 37 0.353115 0.320798 0.385432 0.353229 0.353002 0.644843 0.357801 0.270124 0.605381 0.677046 0.34297 -0.323345 0.575958
16400 37 0.381139 0.404495 0.357784 0.381362 0.380917 0.686665 0.338858 0.339889 0.57829 0.663087 0.348768 -0.295689 0.59738
16600 44 0.380651 0.371873 0.389429 0.379484 0.381818 0.671966 0.352685 0.313968 0.603988 0.681911 0.355313 -0.343117 0.613043
16800 37 0.387226 0.38857 0.385882 0.389038 0.385415 0.681543 0.354698 0.337907 0.610122 0.678388 0.349503 -0.330854 0.59935
17000 38 0.352697 0.352739 0.352655 0.351201 0.354193 0.664034 0.362759 0.298987 0.635653 0.665489 0.368552 -0.308964 0.651513
17200 36 0.392678 0.395196 0.390159 0.391657 0.393698 0.688377 0.364936 0.344619 0.652347 0.686879 0.368268 -0.3452 0.655773
17400 31 0.401989 0.417801 0.386177 0.400699 0.40328 0.697732 0.353296 0.365137 0.624314 0.683211 0.366502 -0.342091 0.652149
17600 31 0.408474 0.443799 0.37315 0.40749 0.409458 0.715094 0.359576 0.396064 0.656582 0.680754 0.382519 -0.338946 0.699541
17800 37 0.428025 0.422481 0.433569 0.428176 0.427874 0.707045 0.375457 0.3881 0.69289 0.712439 0.370886 -0.389902 0.685721
18000 36 0.414023 0.432675 0.395371 0.414859 0.413187 0.709855 0.366515 0.39452 0.664561 0.690367 0.372127 -0.356906 0.687553
18200 33 0.410528 0.412282 0.408774 0.409442 0.411615 0.699642 0.368849 0.366271 0.67078 0.698975 0.374494 -0.370821 0.684534
