sim_gen inv_id freq freq_p1 freq_p2 num_qtns mean_qtnSelCoef sd_qtnSelCoef mean_qtnDom sd_qtnDom inv_FST 
1200 1001423 0.009 0.01 0.008 3 -0.00145824 0.00372294 0 0 0
1200 679754 0.00825 0.006 0.0105 4 -0.000206928 0.00153134 0 0 0
1200 258285 0.21275 0.2095 0.216 25 0.000435198 0.00191504 0 0 6.30644e-05
1200 997180 0.00075 0.001 0.0005 0 0 0 0 0 0
1200 736668 0.03 0.0245 0.0355 6 -0.000943533 0.00201611 0 0 0
1200 998065 0.003 0.0035 0.0025 6 -0.000141187 0.000904495 0 0 0
1200 848414 0.0225 0.0215 0.0235 11 -0.000153774 0.00191648 0 0 0
1200 966786 0.01575 0.015 0.0165 4 0.00274967 0.00106199 0 0 0
1200 894328 0.00725 0.0075 0.007 3 -0.00194681 0.00215295 0 0 0
1200 961734 0.012 0.0095 0.0145 5 0.000925202 0.00140882 0 0 0
1200 1004833 0.0005 0 0.001 3 -0.000397889 0.00141785 0 0 0
1200 961736 0.00925 0.01 0.0085 4 -0.00100201 0.00137813 0 0 0
1200 987975 0.00075 0 0.0015 3 -0.000307376 0.00300408 0 0 0
1200 987974 0.00075 0.001 0.0005 0 0 0 0 0 0
1200 1008964 0.00075 0.001 0.0005 1 0.0026647 0 0 0 0
1200 1010619 0.00025 0 0.0005 0 0 0 0 0 0
1200 1010620 0.00025 0 0.0005 0 0 0 0 0 0
1400 1167037 0.002 0.003 0.001 1 0.00298598 0 0 0 0
1400 1135196 0.008 0.008 0.008 3 -0.00121717 0.00199718 0 0 0
1400 62541 0.15975 0.169 0.1505 46 -0.000540116 0.00212104 0 0 0.000637432
1400 969328 0.03475 0.032 0.0375 0 0 0 0 0 0
1400 848414 0.03475 0.0355 0.034 16 0.00023899 0.00204983 0 0 0
1400 1177107 0.00025 0.0005 0 4 9.24875e-05 0.00125243 0 0 0
1400 961734 0.07125 0.0625 0.08 10 0.000222171 0.00186081 0 0 0.001157
1400 805914 0.0325 0.033 0.032 8 0.00105565 0.00217329 0 0 0
1400 419486 0.098 0.098 0.098 6 0.00238539 0.00163974 0 0 0
1400 736668 0.02075 0.017 0.0245 8 -0.00104964 0.00157498 0 0 0
1400 1053562 0.0115 0.0095 0.0135 5 0.00120589 0.00191919 0 0 0
1400 1051863 0.02025 0.021 0.0195 3 -0.000508717 0.0037789 0 0 0
1400 258285 0.395 0.3875 0.4025 54 0.000799223 0.00201718 0 0 0.00023538
1400 966786 0.0175 0.015 0.02 6 0.0028218 0.000903674 0 0 0
1400 1115828 0.02375 0.0195 0.028 7 0.00136898 0.00259002 0 0 0
1400 1086413 0.0005 0.001 0 3 -0.00046639 0.0029837 0 0 0
1400 1172933 0.003 0.0035 0.0025 0 0 0 0 0 0
1400 1156989 0.00775 0.0065 0.009 3 0.000410896 0.00110378 0 0 0
1400 1146837 0.002 0.0025 0.0015 0 0 0 0 0 0
1400 1113296 0.00975 0.0085 0.011 5 -0.000164473 0.00146279 0 0 0
1400 1177106 0.0005 0 0.001 0 0 0 0 0 0
1400 1149418 0.005 0.003 0.007 3 0.000163548 0.00259683 0 0 0
1400 1177104 0.00025 0 0.0005 0 0 0 0 0 0
1400 1167852 0.00025 0.0005 0 0 0 0 0 0 0
1400 1176241 0.00025 0 0.0005 8 0.00156496 0.00178156 0 0 0
1400 1178809 0.00025 0.0005 0 2 0.0015895 0.00145934 0 0 0
1400 1178810 0.00025 0.0005 0 2 0.00086939 0.000617593 0 0 0
1400 1178811 0.00025 0.0005 0 4 -0.000539945 0.00160746 0 0 0
1400 1178812 0.00025 0 0.0005 8 -0.000113944 0.0015746 0 0 0
1400 1178813 0.00025 0 0.0005 3 0.00223853 0.0015239 0 0 0
1400 1178814 0.00025 0 0.0005 5 -2.48546e-05 0.00175773 0 0 0
1400 1178815 0.00025 0 0.0005 1 -0.0027703 0 0 0 0
1600 1188023 0.009 0.0065 0.0115 6 0.000102722 0.0013127 0 0 0
1600 1321423 0.00475 0.0045 0.005 2 0.000959074 0.00161363 0 0 0
1600 62541 0.1625 0.162 0.163 44 -4.46557e-05 0.00197727 0 0 1.83697e-06
1600 969328 0.04075 0.0395 0.042 0 0 0 0 0 0
1600 1326472 0.003 0.0035 0.0025 3 -0.00147335 0.00186741 0 0 0
1600 1212353 0.02725 0.0245 0.03 5 -0.000890301 0.00178288 0 0 0
1600 961734 0.093 0.0995 0.0865 26 -4.5549e-05 0.00216697 0 0 0.000500883
1600 1298072 0.02175 0.0235 0.02 3 0.000789543 0.000578973 0 0 0
1600 419486 0.066 0.0635 0.0685 2 -0.000644836 0.0025559 0 0 0.000101389
1600 736668 0.01825 0.019 0.0175 8 -0.000250172 0.00245606 0 0 0
1600 1053562 0.029 0.0245 0.0335 5 0.00120589 0.00191919 0 0 0
1600 1269595 0.009 0.01 0.008 4 0.000827014 0.00276187 0 0 0
1600 258285 0.3495 0.3365 0.3625 47 0.00013768 0.00187207 0 0 0.000743348
1600 966786 0.01925 0.0205 0.018 6 0.00153082 0.00224698 0 0 0
1600 1281422 0.009 0.01 0.008 3 -0.00133157 0.00125501 0 0 0
