"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3385527 0.00000001 0 3 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385528 0.00000001 0 3 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385529 0.00000001 0 3 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385530 0.00000001 0 3 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385531 0.00000001 0 3 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385532 0.00000001 0.001 0.75 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385533 0.00000001 0.001 0.75 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385534 0.00000001 0.001 0.75 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385535 0.00000001 0.001 0.75 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385536 0.00000001 0.001 0.75 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385537 0.00000001 0.001 0.75 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385538 0.00000001 0.001 0.75 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385539 0.00000001 0.001 0.75 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385540 0.00000001 0.001 0.75 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385541 0.00000001 0.001 0.75 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385542 0.00000001 0.001 0.75 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385543 0.00000001 0.001 0.75 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385544 0.00000001 0.001 0.75 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385545 0.00000001 0.001 0.75 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385546 0.00000001 0.001 0.75 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385547 0.00000001 0.001 0.75 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385548 0.00000001 0.001 0.75 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385549 0.00000001 0.001 0.75 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385550 0.00000001 0.001 0.75 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385551 0.00000001 0.001 0.75 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385552 0.00000001 0.001 0.75 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385553 0.00000001 0.001 0.75 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385554 0.00000001 0.001 0.75 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385555 0.00000001 0.001 0.75 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385556 0.00000001 0.001 0.75 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385557 0.00000001 0.001 0.75 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385558 0.00000001 0.001 0.75 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385559 0.00000001 0.001 0.75 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385560 0.00000001 0.001 0.75 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385561 0.00000001 0.001 0.75 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385562 0.00000001 0.001 1.5 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385563 0.00000001 0.001 1.5 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385564 0.00000001 0.001 1.5 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385565 0.00000001 0.001 1.5 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385566 0.00000001 0.001 1.5 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
