"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383357,1e-07,0,0.9,0.2,3,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383358,1e-07,0,0.9,0.2,3,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383359,1e-07,0,0.9,0.2,3,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383360,1e-07,0,0.9,0.2,3,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383361,1e-07,0,0.9,0.2,3,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383362,1e-07,0,0.9,0.2,4,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383363,1e-07,0,0.9,0.2,4,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383364,1e-07,0,0.9,0.2,4,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383365,1e-07,0,0.9,0.2,4,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383366,1e-07,0,0.9,0.2,4,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383367,1e-07,0,0.9,0.2,4,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383368,1e-07,0,0.9,0.2,4,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383369,1e-07,0,0.9,0.2,4,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383370,1e-07,0,0.9,0.2,4,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383371,1e-07,0,0.9,0.2,4,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383372,1e-07,0,0.9,0.2,5,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383373,1e-07,0,0.9,0.2,5,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383374,1e-07,0,0.9,0.2,5,1000,0,0.1,0.1,1,-1,4000,21,1e-06
