"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
"72" 3384531 1e-06 0 1.5 0.002 5 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"73" 3384532 1e-06 0 1.5 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"74" 3384534 1e-06 0 1.5 0.002 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"75" 3384535 1e-06 0 1.5 0.002 5 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"76" 3384537 1e-06 0 1.5 0.002 5 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"77" 3384539 1e-06 0 1.5 0.002 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"78" 3384540 1e-06 0 1.5 0.002 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"79" 3384565 1e-06 0 1.5 0.2 2 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"80" 3384603 1e-06 0 3 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"81" 3384605 1e-06 0 3 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"82" 3384609 1e-06 0 3 0.002 1 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"83" 3384610 1e-06 0 3 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"84" 3384613 1e-06 0 3 0.002 1 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"85" 3384614 1e-06 0 3 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"86" 3384617 1e-06 0 3 0.002 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"87" 3384618 1e-06 0 3 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"88" 3384619 1e-06 0 3 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"89" 3384620 1e-06 0 3 0.002 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"90" 3384621 1e-06 0 3 0.002 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"91" 3384622 1e-06 0 3 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"92" 3384624 1e-06 0 3 0.002 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"93" 3384625 1e-06 0 3 0.002 2 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"94" 3384636 1e-06 0 3 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"95" 3384650 1e-06 0 3 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"96" 3384651 1e-06 0 3 0.002 5 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"97" 3384652 1e-06 0 3 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"98" 3384653 1e-06 0 3 0.002 5 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"99" 3384654 1e-06 0 3 0.002 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"100" 3384655 1e-06 0 3 0.002 5 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"101" 3384658 1e-06 0 3 0.002 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"102" 3384659 1e-06 0 3 0.002 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"103" 3384664 1e-06 0 3 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"104" 3384716 1e-06 0 3 0.2 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"105" 3384724 1e-06 0.001 0.75 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"106" 3384726 1e-06 0.001 0.75 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"107" 3384730 1e-06 0.001 0.75 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"108" 3384753 1e-06 0.001 0.75 0.002 3 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"109" 3384757 1e-06 0.001 0.75 0.002 3 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"110" 3384771 1e-06 0.001 0.75 0.002 5 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"111" 3384848 1e-06 0.001 1.5 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"112" 3384850 1e-06 0.001 1.5 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"113" 3384854 1e-06 0.001 1.5 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"114" 3384867 1e-06 0.001 1.5 0.002 3 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"115" 3384873 1e-06 0.001 1.5 0.002 3 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"116" 3384876 1e-06 0.001 1.5 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"117" 3384891 1e-06 0.001 1.5 0.002 5 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"118" 3384892 1e-06 0.001 1.5 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"119" 3384908 1e-06 0.001 1.5 0.2 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"120" 3384938 1e-06 0.001 1.5 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"121" 3384964 1e-06 0.001 3 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"122" 3384973 1e-06 0.001 3 0.002 1 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"123" 3384976 1e-06 0.001 3 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"124" 3384977 1e-06 0.001 3 0.002 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"125" 3384983 1e-06 0.001 3 0.002 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"126" 3384985 1e-06 0.001 3 0.002 2 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"127" 3384995 1e-06 0.001 3 0.002 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"128" 3385007 1e-06 0.001 3 0.002 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"129" 3385015 1e-06 0.001 3 0.002 5 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"130" 3385017 1e-06 0.001 3 0.002 5 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"131" 3385023 1e-06 0.001 3 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"132" 3385025 1e-06 0.001 3 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"133" 3385058 1e-06 0.001 3 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"134" 3385088 1e-06 1e-06 0.75 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"135" 3385092 1e-06 1e-06 0.75 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"136" 3385097 1e-06 1e-06 0.75 0.002 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"137" 3385099 1e-06 1e-06 0.75 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"138" 3385101 1e-06 1e-06 0.75 0.002 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"139" 3385102 1e-06 1e-06 0.75 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"140" 3385103 1e-06 1e-06 0.75 0.002 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"141" 3385107 1e-06 1e-06 0.75 0.002 3 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"142" 3385110 1e-06 1e-06 0.75 0.002 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"143" 3385112 1e-06 1e-06 0.75 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"144" 3385113 1e-06 1e-06 0.75 0.002 3 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"145" 3385120 1e-06 1e-06 0.75 0.002 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"146" 3385123 1e-06 1e-06 0.75 0.002 4 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"147" 3385127 1e-06 1e-06 0.75 0.002 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"148" 3385132 1e-06 1e-06 0.75 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"149" 3385186 1e-06 1e-06 0.75 0.2 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"150" 3385200 1e-06 1e-06 0.75 0.2 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"151" 3385202 1e-06 1e-06 1.5 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"152" 3385204 1e-06 1e-06 1.5 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"153" 3385206 1e-06 1e-06 1.5 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"154" 3385207 1e-06 1e-06 1.5 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"155" 3385209 1e-06 1e-06 1.5 0.002 1 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"156" 3385210 1e-06 1e-06 1.5 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"157" 3385211 1e-06 1e-06 1.5 0.002 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"158" 3385214 1e-06 1e-06 1.5 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"159" 3385217 1e-06 1e-06 1.5 0.002 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"160" 3385218 1e-06 1e-06 1.5 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"161" 3385219 1e-06 1e-06 1.5 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"162" 3385221 1e-06 1e-06 1.5 0.002 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"163" 3385222 1e-06 1e-06 1.5 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"164" 3385227 1e-06 1e-06 1.5 0.002 3 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"165" 3385228 1e-06 1e-06 1.5 0.002 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"166" 3385234 1e-06 1e-06 1.5 0.002 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"167" 3385236 1e-06 1e-06 1.5 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"168" 3385250 1e-06 1e-06 1.5 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"169" 3385251 1e-06 1e-06 1.5 0.002 5 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"170" 3385252 1e-06 1e-06 1.5 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"171" 3385256 1e-06 1e-06 1.5 0.002 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"172" 3385257 1e-06 1e-06 1.5 0.002 5 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"173" 3385258 1e-06 1e-06 1.5 0.002 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"174" 3385322 1e-06 1e-06 3 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"175" 3385323 1e-06 1e-06 3 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"176" 3385325 1e-06 1e-06 3 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"177" 3385332 1e-06 1e-06 3 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"178" 3385341 1e-06 1e-06 3 0.002 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"179" 3385343 1e-06 1e-06 3 0.002 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"180" 3385344 1e-06 1e-06 3 0.002 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"181" 3385345 1e-06 1e-06 3 0.002 2 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"182" 3385346 1e-06 1e-06 3 0.002 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"183" 3385347 1e-06 1e-06 3 0.002 3 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"184" 3385348 1e-06 1e-06 3 0.002 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"185" 3385350 1e-06 1e-06 3 0.002 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"186" 3385351 1e-06 1e-06 3 0.002 3 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"187" 3385352 1e-06 1e-06 3 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"188" 3385356 1e-06 1e-06 3 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"189" 3385358 1e-06 1e-06 3 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"190" 3385360 1e-06 1e-06 3 0.002 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"191" 3385361 1e-06 1e-06 3 0.002 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
"192" 3385365 1e-06 1e-06 3 0.002 4 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"193" 3385366 1e-06 1e-06 3 0.002 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"194" 3385367 1e-06 1e-06 3 0.002 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"195" 3385369 1e-06 1e-06 3 0.002 4 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"196" 3385370 1e-06 1e-06 3 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"197" 3385372 1e-06 1e-06 3 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
